"Timestamp","ApiVersion","User","RawHeader"
"2018-08-24T09:42:15Z","v2","owild@fabrikam.com","{""api_version"":""v2"",""time"":""24-Aug-18 09:42:15"",""id"":""0944f542-a637-411b-94dd-8874992d6ebc""}"
"2018-08-24T09:42:27Z","v1","owild@fabrikam.com","{""api_version"":""v1"",""time"":""24-Aug-18 09:42:27"",""id"":""09f7c3a2-27e0-4a9b-b00a-3538fb50fb51""}"
"2018-08-24T09:42:47Z","v1","jane.austin@fabrikam.com","{""api_version"":""v1"",""time"":""24-Aug-18 09:42:47"",""id"":""e0e4a6dd-8823-412f-ad0c-84b55267518f""}"
"2018-08-24T09:42:56Z","v2","owild@fabrikam.com","{""api_version"":""v2"",""time"":""24-Aug-18 09:42:56"",""id"":""e52cd01e-6984-4821-a4aa-a97c334517e5""}"
"2018-08-24T09:43:14Z","v2","jane.doe@fabrikam.com","{""api_version"":""v2"",""time"":""24-Aug-18 09:43:14"",""id"":""6a56af09-1610-4932-b596-84d37152d045""}"
"2018-08-24T09:43:37Z","v1","john.doe@fabrikam.com","{""api_version"":""v1"",""time"":""24-Aug-18 09:43:37"",""id"":""a5d0161f-ba96-407b-a10a-462635222cae""}"
"2018-08-24T09:43:57Z","v2","will.smith@fabrikam.com","{""api_version"":""v2"",""time"":""24-Aug-18 09:43:57"",""id"":""a0250103-76e7-46aa-bac9-6ebc0d5c0323""}"
"2018-08-24T09:44:11Z","v2","jane.doe@fabrikam.com","{""api_version"":""v2"",""time"":""24-Aug-18 09:44:11"",""id"":""af74edf2-0f17-47a4-87f2-bd222affb14d""}"
"2018-08-24T09:44:28Z","v2","will.smith@fabrikam.com","{""api_version"":""v2"",""time"":""24-Aug-18 09:44:28"",""id"":""23702971-372f-43ff-b10b-35bc2a460b41""}"
"2018-08-24T09:44:56Z","v1","jane.austin@fabrikam.com","{""api_version"":""v1"",""time"":""24-Aug-18 09:44:56"",""id"":""3eaf2cd4-8244-4f70-b3de-f823c3b6a6d8""}"
"2018-08-24T09:45:05Z","v1","jane.doe@fabrikam.com","{""api_version"":""v1"",""time"":""24-Aug-18 09:45:05"",""id"":""ebbc83b8-5dbb-46ad-bb91-c8849080f80f""}"
"2018-08-24T09:45:15Z","v1","john.doe@fabrikam.com","{""api_version"":""v1"",""time"":""24-Aug-18 09:45:15"",""id"":""7b57c9c5-4aa4-4e68-93a5-645b589a0e21""}"
"2018-08-24T09:45:15Z","v2","owild@fabrikam.com","{""api_version"":""v2"",""time"":""24-Aug-18 09:45:15"",""id"":""3f1f9945-ef76-4156-8825-16c93db4cf63""}"
"2018-08-24T09:45:39Z","v2","owild@fabrikam.com","{""api_version"":""v2"",""time"":""24-Aug-18 09:45:39"",""id"":""a38a3660-0dfb-498e-8253-c904449285e6""}"
"2018-08-24T09:45:42Z","v1","jane.doe@fabrikam.com","{""api_version"":""v1"",""time"":""24-Aug-18 09:45:42"",""id"":""37e7f5fb-ef8d-4478-bb6c-42dab9b08119""}"
"2018-08-24T09:45:54Z","v2","jane.doe@fabrikam.com","{""api_version"":""v2"",""time"":""24-Aug-18 09:45:54"",""id"":""95aa520a-64e1-4e7d-9dfe-d3c78227d5f5""}"
"2018-08-24T09:46:10Z","v2","jane.doe@fabrikam.com","{""api_version"":""v2"",""time"":""24-Aug-18 09:46:10"",""id"":""03610479-aa33-4f46-8e02-90fe01d8bf46""}"
"2018-08-24T09:46:27Z","v2","will.smith@fabrikam.com","{""api_version"":""v2"",""time"":""24-Aug-18 09:46:27"",""id"":""514b6331-92ac-4e99-80c9-686ca96730bf""}"
"2018-08-24T09:46:34Z","v1","jane.austin@fabrikam.com","{""api_version"":""v1"",""time"":""24-Aug-18 09:46:34"",""id"":""90614bfb-d434-4396-b394-4151a918ddf9""}"
"2018-08-24T09:46:58Z","v2","owild@fabrikam.com","{""api_version"":""v2"",""time"":""24-Aug-18 09:46:58"",""id"":""3e35112a-fbbc-4612-96a4-6b47e5589146""}"
